KR2f0038	宋名臣奏議-宋-趙汝愚
KR4d0138	梁谿集-宋-李綱
KR2b0017	皇王大紀-宋-胡宏
KR6r0021	歷朝釋氏資鑑-元-熙仲
KR6d0053	觀音經義疏記會本科--
KR3e0036	醫說-宋-張杲
KR2f0041	御選明臣奏議-清-高宗弘曆
KR5c0166	混元聖紀--謝守灝
KR4e0244	陶菴全集-明-黃淳耀
KR2c0021	繹史-清-馬驌
KR1f0004	孝經注疏-唐-玄宗
KR4d0112	道鄉集-宋-鄒浩
KR6s0057	御製蓮華心輪迴文偈頌-宋-太宗趙炅
KR6d0227	天竺別集-宋-遵式
KR6d0142	摩訶止觀貫義科-清-受登
KR4b0007	陸士龍文集-晉-陸雲
KR2k0053	廣東通志-清-郝玉麟
KR2n0007	文淵閣書目-明-楊士奇
KR3a0093	中庸衍義-明-夏良勝
KR4e0002	文憲集-明-宋濂
KR1g0015	五經蠡測-明-蔣悌生
KR5a0090	元始無量度人上品妙經內義--蕭應叟
KR6i0588	諸經日誦集要--佚名
KR6d0154	大乘止觀法門釋要-明-智旭
KR5c0150	太上說玄天大聖真武本傳神咒妙經--
KR4e0070	榮陽外史集-明-鄭眞
KR5e0043	仙樂集--劉處玄
KR6r0152	集神州三寶感通錄-唐-道宣
KR6d0095	法華經指掌疏科文-清-通理
KR6j0295	觀自在菩薩如意輪咒課法-宋-仁岳
KR1a0027	易變體義-宋-都絜
KR5i0093	心香妙語--
KR4d0254	慈湖遺書-宋-楊簡
KR4f0010	牧齋初學集-淸-
KR5b0020	太上洞玄靈寶業報因緣經-唐初期-
KR5g0032	上清靈寶大法(二)--金允中
KR6d0081	法華經綸貫-明-智旭
KR5h0044	易林上下經(焦氏易林)--焦贛
KR5h0045	搜神記--
KR2b0032	宋史全文-元-闕名
KR6r0085	大方廣佛華嚴經感應傳-唐-惠英
KR2m0040	八旬萬壽盛典-清-阿桂
KR1a0002	子夏易傳-周-卜商
KR5i0071	張三丰先生全集--
KR5h0053	天皇至道太清玉冊--朱權
KR6j0708	楞嚴經纂註-明-真界
KR6q0482	天界覺浪盛禪師嘉禾語錄-明-道盛
KR3a0079	讀書錄-明-薛瑄
KR6r0181	金剛經感應分類輯要-清-王澤泩
KR1e0074	春秋大全-明-胡廣
KR4h0122	東漢文紀-明-梅鼎祚
KR1a0100	周易集註-明-來知德
KR1a0104	像象管見-明-錢一本
KR4d0516	安雅堂集-元-陳旅
KR1a0118	御纂周易述義-清-傅恒
KR4e0130	翠渠摘稿-明-周瑛
KR5a0308	歷世真仙體道通鑑--趙道一
KR1a0058	周易輯聞-宋-趙汝楳
KR1a0055	易翼傳-宋-鄭汝諧
KR6p0004	摩訶阿彌陀經衷論-清-王耕心
KR4d0371	魯齋集-宋-王柏
KR4e0121	青谿漫稿-明-倪岳
KR3g0029	焦氏易林-漢-焦贛
KR6s0104	閱藏知津-明-智旭
KR6r0063	補續高僧傳-明-明河
KR6f0077	觀無量壽佛經義疏-宋-元照
KR1e0047	春秋集義-宋-李明復
KR6e0004	華嚴經探玄記-唐-法藏
KR1a0049	西谿易說-宋-李過
KR1a0040	誠齋易傳-宋-楊萬里
KR6k0205	法界聖凡水陸大齋普利道場性相通論-清-咫觀
KR6k0206	法界聖凡水陸大齋法輪寶懺-清-咫觀
KR6j0690	楞嚴經玄義-明-傳燈
KR1a0135	易原就正-清-包儀
KR1a0134	周易淺述-清-陳夢雷
KR6q0426	古雪哲禪師語錄-明-真哲
KR5e0030	道門經法相承次序--潘師正
KR4e0201	弇州四部稿-明-王世貞
KR4d0031	鐔津集-宋-釋契嵩
KR6s0006	大藏一覽-明-陳實
KR1e0035	呂氏春秋集解-宋-呂本中
KR6j0680	楞嚴經合論-宋-德洪造
KR4h0058	古文集成前集-宋-王霆震
KR6c0107	金剛般若經旨贊-唐-曇曠
KR1c0044	欽定詩經傳說彙纂-清-王鴻緖
KR4e0147	懷星堂集-明-祝允明
KR6q0165	高峰龍泉院因師集賢語錄-元-如瑛
KR3g0006	皇極經世索引-宋-張行成
KR6e0158	依楞嚴究竟事懺-明-禪修
KR5d0035	金鎖流珠引--李淳風
KR6r0132	南嶽總勝集-宋-陳田夫
KR6r0134	廣清涼傳-宋-延一
KR6i0317	金光明經科註-明-受汰
KR6i0559	圓覺經略疏鈔-唐-宗密
KR5h0031	皇明恩命世錄--
KR6q0370	為霖道霈禪師還山錄--(侍者)興燈
KR1a0038	周易玩辭-宋-項安世
KR1a0130	易俟-清-喬萊
KR6d0248	法界安立圖-明-仁潮
KR6e0147	一乘決疑論-清-彭際清
KR5c0362	武當福地總真集--劉道明
KR6r0105	宗統編年-清-紀蔭
KR1a0098	周易象旨決錄-明-熊過
KR6i0549	占察善惡業報經義疏-明-智旭
KR6q0369	為霖道霈禪師餐香錄--(書記)太泉
